country_name,subregion1_name,Total_Confirmed,Total_Deaths,Total_Recovered
United States of America,Utah,90488,531,66683
United States of America,Virginia,162941,3388,18831
United States of America,Virgin Islands,1329,21,1293
United States of America,Vermont,1903,58,1685
United States of America,West Virginia,19082,393,14066
United States of America,Wyoming,8375,57,6360
Uruguay,,2388,51,
Uruguay,Artigas Department,,,
Uruguay,Canelones Department,,,
Uruguay,Cerro Largo Department,,,
Uruguay,Colonia Department,,,
Uruguay,Durazno Department,,,
Uruguay,Florida Department,,,
Uruguay,Flores Department,,,
Uruguay,Lavalleja Department,,,
Uruguay,Maldonado Department,,,
Uruguay,Montevideo Department,,,
Uruguay,Paysandú Department,,,
Uruguay,Río Negro Department,,,
Uruguay,Rocha Department,,,
Uruguay,Rivera Department,,,
Uruguay,Salto Department,,,
Uruguay,San José Department,,,
Uruguay,Soriano Department,,,
Uruguay,Tacuarembó Department,,,
Uruguay,Treinta y Tres Department,,,
Uzbekistan,,62484,519,
Vatican City,,26,0,
Saint Vincent and the Grenadines,,64,0,
Venezuela,,85005,714,
Venezuela,Capital District,19634,,
Venezuela,Anzoátegui,1618,,
Venezuela,Apure,5235,,
Venezuela,Aragua,4056,,
Venezuela,Barinas,1512,,
Venezuela,Bolívar,3415,,
Venezuela,Carabobo,2672,,
Venezuela,Cojedes,568,,
Venezuela,Falcón,1874,,
Venezuela,Guárico,538,,
Venezuela,Lara,2269,,
Venezuela,Mérida,1966,,
Venezuela,Miranda,11448,,
Venezuela,Monagas,1163,,
Venezuela,Nueva Esparta,3510,,
Venezuela,Portuguesa,706,,
Venezuela,Sucre,2088,,
Venezuela,Táchira,5321,,
Venezuela,Trujillo,947,,
Venezuela,Yaracuy,2578,,
Venezuela,Zulia,7468,,
Venezuela,Vargas,,,
Venezuela,Delta Amacuro,656,,
Venezuela,Amazonas,714,,
British Virgin Islands,,72,1,
United States Virgin Islands,,1328,20,
Vietnam,,1124,35,
Vanuatu,,0,0,
Wallis and Futuna,,0,0,
Samoa,,0,0,
Kosovo,,16459,640,
Yemen,,2057,597,
Libya,Al Bayda' Governorate,,,
Mayotte,,4030,43,
South Africa,,698184,18309,
South Africa,Eastern Cape,91373,3397,
South Africa,Free State,52167,1270,
South Africa,Gauteng,224158,4597,
South Africa,KwaZulu-Natal,120859,3111,
South Africa,Limpopo,16547,435,
South Africa,Mpumalanga,28466,589,
South Africa,Northern Cape,19630,237,
South Africa,North West,31356,393,
South Africa,Western Cape,113628,4280,
Zambia,,15659,346,
Zimbabwe,,8075,231,
United States of America,Washington,100838,2331,
United States of America,Wisconsin,171480,1568,127576
United States of America,Texas,809808,17362,716015
United States of America,Puerto Rico,56085,743,25071
United States of America,Rhode Island,27438,1149,2493
United States of America,South Carolina,161106,3607,80460
United States of America,South Dakota,31012,304,23576
United States of America,Tennessee,219355,2836,200164
United States of America,Oregon,38536,613,5870
United States of America,Pennsylvania,182502,8496,142016
United States of America,Mississippi,108139,3152,94165
United States of America,Montana,21043,230,12854
United States of America,North Carolina,239338,3899,206471
United States of America,North Dakota,29658,375,24336
United States of America,Nebraska,55428,546,37122
United States of America,New Hampshire,9426,463,8134
United States of America,Ohio,175843,5038,147063
United States of America,Oklahoma,103836,1143,88780
United States of America,Missouri,156142,2598,
United States of America,Northern Mariana Islands,80,2,29
United States of America,Iowa,104232,1516,80203
United States of America,Idaho,51471,521,24983
United States of America,Illinois,336211,9392,
United States of America,Indiana,143617,3864,105594
United States of America,Kansas,70815,838,2340
United States of America,Kentucky,86410,1341,16928
United States of America,Louisiana,176952,5707,161792
Peru,Metropolitan Municipality of Lima,334855,13379,
Peru,Loreto,20515,959,
Peru,Madre de Dios,8556,141,
Peru,Moquegua,13727,275,
Peru,Pasco,5392,110,
Peru,Piura,37032,1998,
United States of America,Massachusetts,141579,9672,118892
United States of America,Maryland,134042,4028,7851
United States of America,Maine,5836,144,5070
United States of America,Michigan,156926,7304,104271
Mexico,Veracruz,34156,4478,
Mexico,Yucatán,18836,1621,
Mexico,Zacatecas,7838,766,
Malaysia,,18129,170,
Malaysia,Johor,686,43,
Malaysia,Kedah,96,7,
United States of America,Minnesota,117159,2252,104547
Peru,La Libertad,30775,2245,
Peru,Lambayeque,27204,1734,
Peru,Lima Region,54572,1708,
Mexico,Puebla,31797,4114,
Mexico,Querétaro,9633,976,
Mexico,Quintana Roo,12163,1690,
Mexico,Sinaloa,19241,3282,
Peru,Ayacucho,12407,316,
Peru,Cajamarca,20992,494,
Peru,Callao,35021,1797,
Peru,Huánuco,16564,401,
Peru,Huancavelica,7046,121,
Peru,Ica,28708,1641,
Peru,Junín,21154,798,
India,Andhra Pradesh,775470,6382,730109
India,Arunachal Pradesh,12971,30,9889
India,Assam,199647,857,170263
India,Bihar,201887,981,190256
India,Chandigarh,13532,206,12352
India,Chhattisgarh,155987,1425,126869
India,Daman and Diu,,,
India,Delhi,324459,5946,295699
India,Dadra and Nagar Haveli and Daman and Diu,3171,2,3067
India,Goa,40091,531,35610
India,Gujarat,157473,3619,139250
India,Himachal Pradesh,18522,257,15587
India,Haryana,147933,1634,135857
India,Jharkhand,95400,823,88058
India,Jammu and Kashmir,86754,1366,76479
India,Karnataka,751390,9767,628589
India,Kerala,325213,1114,228993
Brazil,Paraná,175982,4378,0
Mexico,State of Mexico,83344,11969,
Mexico,Michoacán,21461,1753,
Mexico,Morelos,6040,1107,
Mexico,Nayarit,6133,772,
Mexico,Nuevo León,42166,3199,
Czech Republic,Liberec Region,5677,16,2074
Czech Republic,Hradec Králové Region,5961,26,1995
Czech Republic,Pardubice Region,6058,44,2502
Czech Republic,Vysocina Region,6578,48,2657
Czech Republic,South Moravian Region,14188,110,5887
Czech Republic,Olomouc Region,8320,48,3168
Czech Republic,Zlin Region,9015,46,2956
Czech Republic,Moravian-Silesian Region,15878,133,7668
Germany,,348557,9734,
Germany,Brandenburg,5284,182,
Germany,Berlin,20087,239,
Germany,Baden-Württemberg,57824,1965,
Germany,Bavaria,77029,2741,
Germany,Bremen,3380,61,
Germany,Hesse,24279,578,
Germany,Hamburg,9615,278,
Germany,Mecklenburg-Vorpommern,1595,21,
Germany,Lower Saxony,25148,722,
Germany,North Rhine-Westphalia,86472,1942,
Germany,Rhineland-Palatinate,13021,271,
Germany,Schleswig-Holstein,5545,166,
Germany,Saarland,4182,180,
Germany,Saxony,9419,256,
Germany,Saxony-Anhalt,3152,71,
Germany,Thuringia,4722,199,
Djibouti,,5443,61,
Denmark,,34023,677,
Dominica,,33,0,
Dominican Republic,,120066,2189,
Dominican Republic,Distrito Nacional,,,
Dominican Republic,Azua Province,,,
Dominican Republic,Baoruco Province,,,
Dominican Republic,Barahona Province,,,
Dominican Republic,Dajabón Province,,,
Dominican Republic,Duarte Province,,,
Dominican Republic,Elías Piña Province,,,
Dominican Republic,El Seibo Province,,,
Dominican Republic,Espaillat Province,,,
Dominican Republic,Independencia,,,
Dominican Republic,La Altagracia Province,,,
Dominican Republic,La Romana Province,,,
Dominican Republic,La Vega Province,,,
Dominican Republic,María Trinidad Sánchez Province,,,
Dominican Republic,Monte Cristi Province,,,
Dominican Republic,Pedernales Province,,,
Dominican Republic,Peravia Province,,,
Dominican Republic,Puerto Plata Province,,,
Dominican Republic,Hermanas Mirabal Province,,,
Dominican Republic,Samaná Province,,,
Dominican Republic,San Cristóbal Province,,,
Dominican Republic,San Juan Province,,,
Dominican Republic,San Pedro de Macorís,,,
Dominican Republic,Sánchez Ramírez Province,,,
Dominican Republic,Santiago Province,,,
Dominican Republic,Santiago Rodríguez Province,,,
Dominican Republic,Valverde Province,,,
Dominican Republic,Monseñor Nouel Province,,,
Dominican Republic,Monte Plata Province,,,
Dominican Republic,Hato Mayor Province,,,
Dominican Republic,San José de Ocoa Province,,,
Dominican Republic,Santo Domingo Province,,,
Algeria,,53777,1836,
Ecuador,,150360,12306,
Ecuador,Azuay Province,,,
Ecuador,Bolívar Province,,,
Ecuador,Carchi Province,,,
Ecuador,Orellana Province,,,
Ecuador,Esmeraldas,,,
Ecuador,Cañar Province,,,
Ecuador,Guayas Province,,,
Ecuador,Chimborazo Province,,,
Ecuador,Imbabura Province,,,
Ecuador,Loja Province,,,
Ecuador,Manabí Provin,,,
Ecuador,Napo Province,,,
Ecuador,El Oro Province,,,
Ecuador,Pichincha Province,,,
Ecuador,Los Ríos Province,,,
Ecuador,Morona-Santiago Province,,,
Ecuador,Santo Domingo de los Tsáchilas Province,,,
Ecuador,Santa Elena Province,,,
Ecuador,Tungurahua Province,,,
Ecuador,Sucumbíos Province,,,
Ecuador,Galápagos Province,,,
Ecuador,Cotopaxi Province,,,
Ecuador,Pastaza Province,,,
Ecuador,Zamora-Chinchipe Province,,,
Estonia,,3980,68,
Egypt,,105033,6088,
Western Sahara,,766,1,
Eritrea,,422,0,
Spain,,921374,33553,
Spain,Andalucía,81425,2045,
Spain,Aragón,41680,1492,
Spain,Asturias,7504,365,
Spain,Cantabria,7522,231,
Spain,Ceuta,793,12,
Spain,Castilla y León,59769,3307,
Spain,Castilla-La Mancha,40940,3198,
Spain,Islas Canarias,15561,252,8790
Colombia,Valle Del Cauca,71346,2733,62127
Colombia,Arauca,2432,74,1959
Colombia,Casanare,3520,69,2504
Colombia,Putumayo,4067,198,3539
Colombia,San Andrés and Providencia,1706,24,1516
Colombia,Amazonas,2644,124,2628
Colombia,Guainía,1043,18,968
Colombia,Guaviare,1170,22,975
Colombia,Vaupés,958,12,911
Colombia,Vichada,722,7,655
Costa Rica,,91780,1134,
Costa Rica,Alajuela Province,,,
Costa Rica,Provincia de Cartago,,,
Costa Rica,Guanacaste Province,,,
Costa Rica,Heredia Province,,,
Costa Rica,Limón Province,,,
Costa Rica,Puntarenas Province,,,
Costa Rica,San José Province,,,
Cuba,,6062,123,
Cuba,Pinar del Río Province,,,
Cuba,Havana Province,,,
Cuba,Matanzas Province,,,
Cuba,Villa Clara Province,,,
Cuba,Cienfuegos Province,,,
Cuba,Sancti Spíritus Province,,,
Cuba,Ciego de Ávila Province,,,
Cuba,Camagüey Province,,,
Cuba,Las Tunas Province,,,
Cuba,Holguín Province,,,
Cuba,Granma Province,,,
Cuba,Santiago de Cuba Province,,,
Cuba,Guantánamo Province,,,
Cuba,Artemisa Province,,,
Cuba,Mayabeque Province,,,
Cuba,Isla de la Juventud,,,
Cape Verde,,7444,79,
Curaçao,,645,1,
Christmas Island,,,,
Cyprus,,2181,25,
Czech Republic,,149010,1230,
Czech Republic,Prague,26158,210,12445
Czech Republic,Central Bohemian Region,19797,125,8673
Czech Republic,South Bohemian Region,7192,46,2515
